Inload,5265,FT,aaguadoj,12,12,0,0
Overload1,6941,FT,aalfons2,12,0,0,12
Inload,10117,FT,aalfons2,20,20,0,0
Inload,5733,FT,aangee,12,12,0,0
Overload1,5736,FT,aangee,12,0,6,6
Inload,3621,FT,abribies,16,16,0,0
Overload1,10087,FT,abribies,16,0,16,0
Overload1,6263,FT,acarmona,12,0,12,0
Overload2,9842,FT,acarmona,12,0,12,0
Inload,4301,FT,acoronel,12,12,0,0
Overload2,4302,FT,acoronel,12,0,0,0
Overload1,8176,FT,acoronel,12,0,0,0
Overload2,2684,FT,acorrale,12,0,12,0
Inload,2685,FT,acorrale,12,12,0,0
Overload1,2687,FT,acorrale,12,0,12,0
Inload,4306,FT,adelamal,12,12,0,0
Overload1,10090,FT,adelamal,12,0,0,0
Overload2,4727,FT,afrados,12,0,0,0
Inload,4721,FT,afrados,12,12,0,0
Overload1,6797,FT,afrados,12,0,0,0
Inload,5416,FT,agarcia6,12,12,0,0
Overload1,5615,FT,agarcia6,12,0,12,0
Overload2,9899,FT,agarcia6,12,0,12,0
Inload,2247,FT,aguzman3,18,18,0,0
Overload1,9878,FT,aibarra,18,0,0,0
Inload,6913,FT,aibarra,18,18,0,0
Inload,1528,FT,aittah,12,12,0,0
Overload1,6890,FT,aittah,12,0,0,0
Inload,5060,FT,alund,12,12,0,0
Overload1,5061,FT,alund,12,0,12,0
Overload3,2746,FT,amasi,12,0,0,0
Inload,2769,FT,amasi,12,12,0,0
Overload1,2722,FT,amasi,12,0,0,0
Overload2,2723,FT,amasi,12,0,0,0
Overload1,5062,FT,amcphee,12,0,0,0
Overload2,5063,FT,amcphee,12,0,0,0
Inload,2725,FT,amontoy3,12,12,0,0
Overload1,6193,FT,amontoy3,4,0,0,0
Overload2,6968,FT,amontoy3,4,0,0,0
Overload4,6969,FT,amontoy3,4,0,0,0
Overload3,10066,FT,amontoy3,4,0,0,0
Overload1,5919,FT,aochoa,12,0,12,0
Overload2,5925,FT,aochoa,12,0,12,0
Overload3,5926,FT,aochoa,12,0,0,12
Inload,1610,FT,apino,12,12,0,0
Overload1,1613,FT,apino,12,0,0,0
Inload,4213,FT,aquesada,12,12,0,0
Overload1,4222,FT,asaleh,12,0,0,0
Inload,3972,FT,asaleh,20,20,0,0
Overload1,9990,FT,aserfaty,12,0,12,0
Inload,3995,FT,aserfaty,12,12,0,0
Overload2,8079,FT,aserfaty,12,0,12,0
Overload2,9936,FT,athomasj,12,0,12,0
Inload,7227,FT,athomasj,12,12,0,0
Overload1,9984,FT,athomasj,12,0,12,0
Inload,3354,FT,athompso,12,12,0,0
Inload,2243,FT,azejnilo,18,18,0,0
Overload1,8093,FT,baugusty,12,0,0,0
Inload,9822,FT,baugusty,12,12,0,0
Overload2,5694,FT,baugusty,12,0,0,0
Inload,9982,FT,bcloues,4,4,0,0
Overload1,9995,FT,bgonzal7,12,0,0,0
Inload,5911,FT,bmidence,12,12,0,0
Overload1,5915,FT,bmidence,12,0,12,0
Overload2,5921,FT,bmidence,12,0,12,0
Inload,3903,FT,bneal,12,12,0,0
Overload1,10035,FT,bneal,12,0,0,0
Inload,3168,FT,bsurenda,12,12,0,0
Overload1,6253,FT,bsurenda,12,0,0,0
Overload2,8075,FT,bsussman,16,0,14,2
Overload1,10060,FT,bsussman,16,0,16,0
Inload,5388,FT,bsussman,16,16,0,0
Inload,1527,FT,caristiz,12,12,0,0
Overload1,6889,FT,caristiz,12,0,0,0
Overload2,6189,FT,caristiz,12,0,0,0
Inload,1067,FT,cbalmori,12,12,0,0
Overload3,4342,FT,cbalmori,12,0,12,0
Overload2,6984,FT,cbalmori,12,0,12,0
Inload,2233,FT,ccorbin,18,18,0,0
Overload1,9870,FT,ccorbin,18,0,18,0
Inload,4081,FT,cdiazcon,12,12,0,0
Overload1,8158,FT,cdiazcon,12,0,0,12
Inload,5731,FT,cgluskot,12,12,0,0
Overload1,5734,FT,cgluskot,12,0,12,0
Overload2,5738,FT,cgluskot,12,0,12,0
Inload,9854,FT,chorwitz,12,12,0,0
Overload2,9859,FT,chorwitz,12,0,0,0
Overload1,2565,FT,chorwitz,12,0,0,0
Inload,4022,FT,cjarqui2,12,12,0,0
Overload1,6955,FT,cjarqui2,12,0,0,0
Inload,3683,FT,clopez2,12,12,0,0
Overload2,3689,FT,clopez2,12,0,12,0
Overload1,3670,FT,clopez2,12,0,12,0
Overload1,3167,FT,cmise,12,0,12,0
Overload1,2688,FT,cmorale5,12,0,0,0
Inload,2768,FT,cmuelle,12,12,0,0
Inload,3843,FT,cosorio,12,12,0,0
Overload1,3847,FT,cosorio,12,0,0,12
Overload2,3906,FT,cosorio,12,0,0,12
Inload,2955,FT,crobinso,12,12,0,0
Overload1,2960,FT,crobinso,12,0,12,0
Overload2,6923,FT,crobinso,12,0,12,0
Inload,1644,FT,cruiz1,12,12,0,0
Overload1,6894,FT,cruiz1,12,0,12,0
Overload2,9843,FT,cruiz1,12,0,12,0
Inload,3973,FT,ctaylor1,20,20,0,0
Overload1,4084,FT,ctaylor1,12,0,10,2
Overload1,4726,FT,ctorres2,12,0,0,0
Inload,6928,FT,dfinnera,12,12,0,0
Overload1,6929,FT,dfinnera,12,0,0,0
Overload2,6930,FT,dfinnera,12,0,0,0
Overload3,8143,FT,dfinnera,12,0,0,0
Inload,3708,FT,dfishkin,17,17,0,0
Overload1,3710,FT,dfishkin,17,0,17,0
Inload,2249,FT,dfreer,18,18,0,0
Inload,2957,FT,dheredia,12,12,0,0
Overload1,3221,FT,dheredia,12,0,12,0
Overload2,8125,FT,dheredia,12,0,0,12
Overload2,6185,FT,dmoore,12,0,0,12
Inload,6186,FT,dmoore,12,12,0,0
Overload1,6188,FT,dmoore,12,0,12,0
Overload2,2690,FT,dmurgo,12,0,12,0
Overload3,9918,FT,dmurgo,12,0,12,0
Inload,2643,FT,dmurgo,12,12,0,0
Overload1,6921,FT,dmurgo,12,0,12,0
Overload1,4775,FT,drobinso,12,0,12,0
Overload2,4776,FT,drobinso,12,0,12,0
