External_Course_Key|External_Person_Key|Role|Available_Ind|ROW_STATUS
RSK1000-10|1000049530|Student|N|enabled
RSK1000-10|2000000983|Student|N|enabled
RSK1000-10|2000000627|Student|N|enabled
RSK1000-10|1000368267|Student|N|enabled
RSK1000-10|2000000403|Student|N|enabled
RSK1000-10|1000241862|Student|N|enabled
RSK1000-10|1000513596|Student|N|enabled
RSK1000-10|1000001709|Student|N|enabled
RSK1000-10|1000062470|Student|N|enabled
RSK1000-10|1000045593|Student|N|enabled
RSK1000-10|4000059568|Student|N|enabled
RSK1000-10|4000012623|Student|N|enabled
RSK1000-10|4000117792|Student|N|enabled
RSK1000-10|1000016852|Student|N|enabled
RSK1000-10|1002260197|Student|N|enabled
RSK1000-10|1000073027|Student|N|enabled
RSK1000-10|1000240424|Student|N|enabled
RSK1000-10|4000065132|Student|N|enabled
RSK1000-10|4000008256|Student|N|enabled
RSK1000-10|1000048650|Student|N|enabled
RSK1000-10|1002084579|Student|N|enabled
RSK1000-10|4000014927|Student|N|enabled
RSK1000-10|1000794413|Student|N|enabled
RSK1000-10|1001545548|Student|N|enabled
RSK1000-10|1000020619|Student|N|enabled
RSK1000-10|2000000986|Student|N|enabled
RSK1000-10|1000015513|Student|N|enabled
RSK1000-10|1000057824|Student|N|enabled
RSK1000-10|1000053036|Student|N|enabled
RSK1000-10|1002239588|Student|N|enabled
RSK1000-10|1001570883|Student|N|enabled
RSK1000-10|1000070343|Student|N|enabled
RSK1000-10|2000000538|Student|N|enabled
RSK1000-10|1000047263|Student|N|enabled
RSK1000-10|1000442511|Student|N|enabled
RSK1000-10|1000029907|Student|N|enabled
RSK1000-10|2000000892|Student|N|enabled
RSK1000-10|1000062485|Student|N|enabled
RSK1000-10|1000025881|Student|N|enabled
RSK1000-10|1000038872|Student|N|enabled
RSK1000-10|1000069405|Student|N|enabled
RSK1000-10|1001129647|Student|N|enabled
RSK1000-10|1000029457|Student|N|enabled
RSK1000-10|1000038425|Student|N|enabled
RSK1000-10|2000000262|Student|N|enabled
RSK1000-10|2000000760|Student|N|enabled
RSK1000-10|1000957988|Student|N|enabled
RSK1000-10|1000016371|Student|N|enabled
RSK1000-10|1000065811|Student|N|enabled
RSK1000-10|1000015269|Student|N|enabled
RSK1000-10|1001217856|Student|N|enabled
RSK1000-10|1000236514|Student|N|enabled
RSK1000-10|1000060096|Student|N|enabled
RSK1000-10|1000617119|Student|N|enabled
RSK1000-10|4000024395|Student|N|enabled
RSK1000-10|4000043951|Student|N|enabled
RSK1000-10|2000000632|Student|N|enabled
RSK1000-10|1000928171|Student|N|enabled
RSK1000-10|4000129052|Student|N|enabled
RSK1000-10|1000713933|Student|N|enabled
RSK1000-10|1002273346|Student|N|enabled
RSK1000-10|1000307913|Student|N|enabled
RSK1000-10|1001672710|Student|N|enabled
RSK1000-10|1001256754|Student|N|enabled
RSK1000-10|1000346597|Student|N|enabled
RSK1000-10|1000657904|Student|N|enabled
RSK1000-10|4000111629|Student|N|enabled
RSK1000-10|1000066329|Student|N|enabled
RSK1000-10|1000029838|Student|N|enabled
RSK1000-10|2000000991|Student|N|enabled
RSK1000-10|1000064492|Student|N|enabled
RSK1000-10|2000000051|Student|N|enabled
RSK1000-10|4000025356|Student|N|enabled
RSK1000-10|4000027527|Student|N|enabled
RSK1000-10|1000157940|Student|N|enabled
RSK1000-10|4000104374|Student|N|enabled
RSK1000-10|2000000125|Student|N|enabled
