ACG2001,0,1/1/2020,1/1/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
ACG2001L,0,1/1/2020,1/1/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
ACG2011,0,1/1/2020,1/1/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
ACG2011L,0,1/1/2020,1/1/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
ACG2021,0,1/1/2020,1/1/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
ACG2021L,0,1/1/2020,1/1/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
ACG2031,0,1/1/2020,1/1/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
ACG2071,0,1/1/2020,1/1/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
ACG2071L,0,1/1/2020,1/1/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
ACG2450,0,1/1/2020,1/1/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
AMH2010,1,10/26/2020,11/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
AMH2020,1,10/26/2020,11/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
ARC2201,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
ARC2701,0,1/1/2020,1/1/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
ARC2461,1,10/19/2020,10/25/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
ARC2702,0,1/1/2020,1/1/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
ARH1000,0,1/1/2020,1/1/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
AVM2515,1,10/19/2020,10/25/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
BSC1005,1,10/19/2020,10/25/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
BSC1050,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
BSC2010,1,10/19/2020,10/25/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
BSC2085,1,10/26/2020,11/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
BSC2085L,1,10/26/2020,11/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
BSC2086,1,10/26/2020,11/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
BSC2086L,1,10/26/2020,11/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
BUL2241,1,10/26/2020,11/1/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
BUL4461,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CCJ1010,1,10/19/2020,10/25/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CCJ1020,1,10/19/2020,10/25/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CCJ1191,1,10/19/2020,10/25/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CCJ2650,1,10/19/2020,10/25/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CCJ3032,0,1/1/2020,1/1/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CCJ3663,1,10/19/2020,10/25/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CCJ3666,1,10/19/2020,10/25/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CCJ3700,1,10/19/2020,10/25/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CCJ4054,0,1/1/2020,1/1/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CCJ4450,0,1/1/2020,1/1/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CCJ4651,1,10/26/2020,11/1/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CCJ4660,1,10/19/2020,10/25/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CGS1060C,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CGS1540C,1,10/19/2020,10/25/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CGS1560,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CGS2091,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CGS2108,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CGS3763,1,10/26/2020,11/1/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CIS2331,1,10/26/2020,11/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CIS3360,1,10/26/2020,11/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CIS3510,1,10/26/2020,11/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CIS4617,1,10/26/2020,11/1/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CJC1000,1,10/19/2020,10/25/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CJC1162,1,10/19/2020,10/25/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CJC4311,0,1/1/2020,1/1/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CJE1640,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CJE2600,1,10/19/2020,10/25/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CJE3115,1,10/26/2020,11/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CJE3574,1,10/26/2020,11/1/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CJE4615,1,10/26/2020,11/1/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CJJ2002,0,1/1/2020,1/1/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CJL1100,1,10/19/2020,10/25/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CJL2062,1,10/19/2020,10/25/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CJL3044,1,10/19/2020,10/25/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CJL3564,1,10/19/2020,10/25/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CLP1006,1,10/26/2020,11/1/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CLP2140,0,1/1/2020,1/1/2020,1,12/5/2020,12/11/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CNT4702,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
COP1332,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
COP1334,1,10/26/2020,11/1/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
COP2333,1,10/26/2020,11/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
COP2335,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
COP2800,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
COP2805C,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
COP2822,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CTS1131,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CTS1134,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
CTS2463,0,1/1/2020,1/1/2020,1,12/10/2020,12/16/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
DEP2000,1,10/26/2020,11/1/2020,0,1/1/2020,1/1/2020,9/26/2020,9/30/2020,10/18/2020,10/22/2020,11/15/2020,11/19/2020,12/13/2020,12/17/2020
