ACG2001,0,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
ACG2001L,0,7/13/2020,7/19/2020,0,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
ACG2011,0,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
ACG2011L,0,7/13/2020,7/19/2020,0,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
ACG2021,0,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
ACG2021L,0,7/13/2020,7/19/2020,0,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
ACG2031,0,7/13/2020,7/19/2020,0,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
ACG2071,0,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
ACG2071L,0,7/13/2020,7/19/2020,0,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
ACG2450,0,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
AMH2010,1,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
AMH2020,1,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
ANT2000,0,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
