CourseID,ReferenceNumber,EnrollEnd,CourseStart,CourseEnd,TermYear,SchoolTerm,TermChoiceID,TuitionIS,GSFIS,TuitionOS,GSFOS,Title,InstructorName,CourseAvailability,FormatChoiceID,CourseType,DeliveryID,VisitRequired,TechRequirements,OtherConsiderations,SynchronousMeetingsRequired,ScheduleNotes,RegistrationStatus
29,2721,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,James Poe,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2722,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Felix Lopez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2723,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Eugene Kinnaird,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2724,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Rodolfo Cruz,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2725,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,John Maloney,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2726,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,George Gabb,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2727,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Alicia Ibarra,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2728,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Nelly Delessy,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2729,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Elodie Billionniere,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2730,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Ana Guzman,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2731,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Javier Coto,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2732,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Norge Pena Perez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2733,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Floyd Pittman,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
