CCJ2650,1,10/14/2019,10/16/2019,0,1/1/2019,1/1/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CCJ3032,0,1/1/2019,1/1/2019,1,10/15/2019,10/17/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CCJ3663,1,9/23/2019,9/25/2019,0,1/1/2019,1/1/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CCJ3666,1,9/23/2019,9/25/2019,0,1/1/2019,1/1/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CCJ3700,1,9/23/2019,9/25/2019,0,1/1/2019,1/1/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CCJ4054,0,1/1/2019,1/1/2019,1,12/17/2019,12/19/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CCJ4450,0,1/1/2019,1/1/2019,1,10/15/2019,10/17/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CCJ4651,1,11/25/2019,11/27/2019,0,1/1/2019,1/1/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CCJ4660,1,9/23/2019,9/25/2019,0,1/1/2019,1/1/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CGS1060C,0,1/1/2019,1/1/2019,1,12/17/2019,12/19/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CGS1540C,1,10/16/2019,10/18/2019,0,1/1/2019,1/1/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CGS1560,0,1/1/2019,1/1/2019,1,12/17/2019,12/19/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CGS2091,0,1/1/2019,1/1/2019,1,12/17/2019,12/19/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CGS2108,0,1/1/2019,1/1/2019,1,12/17/2019,12/19/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CGS3763,1,10/21/2019,10/23/2019,0,1/1/2019,1/1/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CIS1321,1,9/23/2019,9/25/2019,1,10/15/2019,10/17/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CIS2322,0,1/1/2019,1/1/2019,1,12/13/2019,12/17/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CIS2331,1,10/23/2019,10/25/2019,1,12/13/2019,12/17/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CIS3360,1,10/21/2019,10/23/2019,1,12/17/2019,12/19/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CIS3510,1,10/21/2019,10/23/2019,1,12/17/2019,12/19/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
CIS4617,1,10/21/2019,10/23/2019,0,1/1/2019,1/1/2019,9/23/2019,9/25/2019,10/15/2019,10/17/2019,11/25/2019,11/27/2019,12/17/2019,12/19/2019
